Статус,Тип,Размер,Размер (байт),Путь на продакшене (public_html/),Локальный путь
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,749 КБ,767961,docs/dokumenty/Положение-о-РП-учебных-дисциплин-общеобразовательного-цикла-.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,570 КБ,584156,docs/dokumenty/Положение-о-СДО-Moodle.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,124 КБ,127243,docs/dokumenty/Положение-о-Совете-техникума-2024.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,185 КБ,190100,docs/dokumenty/Положение-о-ЦК-2023.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,735 КБ,753329,docs/dokumenty/Положение-о-ЦК-2023.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,4 МБ,4740617,docs/dokumenty/Положение-о-Центре-Карьеры-техникума-Приложение-к-Приказу-№89-от-29.08.25.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,2 МБ,2983930,docs/dokumenty/Положение-о-Центре-содействия-трудоустройству-выпускников-2021-э-подпись.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,2 МБ,2964455,docs/dokumenty/Положение-о-Центре-содействия-трудоустройству-выпускников-2021.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,423 КБ,433991,docs/dokumenty/Положение-о-б-аттестации-на-категорию.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,277 КБ,284608,docs/dokumenty/Положение-о-б-аттестации-на-категорию.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,135 КБ,139183,docs/dokumenty/Положение-о-б-аттестации-пед.-работников-на-соответствие-занимаемой-должности.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,277 КБ,284608,docs/dokumenty/Положение-о-б-аттестации-пед.-работников-на-соответствие-занимаемой-должности.zip,
